E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_53_731.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_53_731.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_53_731.jpg, 0, 0, 0, 7.788715E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_53_834.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_53_834.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_53_834.jpg, 0, 0, 0, 7.845505E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_53_938.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_53_938.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_53_938.jpg, 0, 0, 0, 7.958431E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_038.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_038.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_038.jpg, 0, 0, 0, 7.868304E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_140.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_140.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_140.jpg, 0, 0, 0, 8.191312E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_243.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_243.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_243.jpg, 0, 0, 0, 7.83689E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_344.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_344.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_344.jpg, 0, 0, 0, 7.826097E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_444.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_444.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_444.jpg, 0, 0, 0, 7.802064E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_547.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_547.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_547.jpg, 0, 0, 0, 7.806302E-05
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_647.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_647.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_647.jpg, 0, 0.2773377, 0, 0.1364671
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_747.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_747.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_747.jpg, -0.1356897, 0.5769089, 0, 0.7304919
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_847.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_847.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_847.jpg, -0.438624, 0.8798433, 0, 1.599251
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_54_948.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_54_948.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_54_948.jpg, -0.1741437, 1, 0, 2.771536
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_048.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_048.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_048.jpg, 0, 1, 0, 3.948512
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_150.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_150.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_150.jpg, 0, 1, 0, 5.115175
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_255.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_255.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_255.jpg, -0.0126555, 1, 0, 6.499727
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_357.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_357.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_357.jpg, -0.3092487, 1, 0, 7.619165
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_459.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_459.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_459.jpg, -0.325662, 1, 0, 8.714376
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_561.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_561.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_561.jpg, -0.0300894, 1, 0, 9.832852
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_664.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_664.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_664.jpg, 0, 1, 0, 10.93578
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_764.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_764.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_764.jpg, 0, 1, 0, 12.16417
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_865.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_865.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_865.jpg, 0, 1, 0, 13.14784
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_55_965.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_55_965.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_55_965.jpg, -0.2694588, 1, 0, 14.24562
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_56_067.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_56_067.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_56_067.jpg, -0.4029009, 1, 0, 15.08184
E:\Datasets\CAPSTONE_PROJECT\IMG\center_2019_02_26_16_45_56_167.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\left_2019_02_26_16_45_56_167.jpg, E:\Datasets\CAPSTONE_PROJECT\IMG\right_2019_02_26_16_45_56_167.jpg, -0.1043583, 1, 0, 16.24135
